Id,does-bruise-or-bleed,habitat,season,cap-diameter,stem-height,stem-width,class
28210,t,d,u,8.19,4.54,12.8,1
21642,f,d,w,7.02,5.25,12.9,0
57548,f,d,u,4.06,0.0,0.0,1
780,f,d,a,13.51,11.29,15.67,1
30841,t,d,u,6.83,5.23,11.62,1
27368,t,d,u,15.32,6.73,30.52,1
25841,f,d,a,4.44,3.37,11.95,1
56150,f,d,a,8.18,1.25,14.27,1
45056,f,d,u,3.07,5.85,4.5,1
8518,f,l,a,6.24,6.75,10.06,0
12661,f,h,u,1.41,6.74,1.82,0
46950,f,g,u,1.44,4.91,2.5,1
55486,f,d,a,9.8,2.43,14.23,0
46518,f,d,a,4.53,5.39,3.59,0
52871,t,d,a,9.06,7.33,16.54,0
6637,f,l,u,6.31,5.39,8.24,0
23146,f,d,a,10.01,10.59,28.57,1
50070,t,d,u,15.95,10.14,33.05,1
34695,f,d,s,2.22,6.28,3.32,1
21496,f,d,a,3.91,6.22,6.49,0
56954,f,d,a,11.54,5.29,20.91,0
17954,f,d,a,8.72,6.74,13.29,0
4430,f,h,a,2.86,6.35,3.7,0
13360,f,g,a,0.51,4.71,1.0,1
12235,f,d,a,3.37,4.41,4.42,1
4174,f,g,a,3.77,5.89,3.6,1
58140,f,d,a,3.18,0.0,0.0,1
51404,f,d,u,4.53,5.65,12.15,0
16193,f,d,u,6.02,6.06,10.18,0
13641,f,d,a,1.32,1.22,2.33,1
13072,f,g,u,0.68,4.75,0.99,1
1451,f,d,u,11.52,11.8,17.89,1
49345,t,d,u,8.04,5.97,13.33,0
22529,t,d,a,6.29,7.77,15.68,0
43026,t,m,u,12.12,10.28,17.38,0
48325,f,d,a,7.71,9.28,9.42,1
31238,f,d,u,9.21,7.11,9.76,0
31026,t,d,u,7.1,4.66,11.89,1
55628,f,d,w,13.32,2.58,15.55,0
37526,f,m,a,2.12,6.94,2.5,1
8154,f,l,u,4.03,8.25,4.22,1
21527,f,d,a,4.69,6.59,8.8,0
288,f,d,a,16.82,17.78,18.03,1
16283,f,d,u,4.93,3.62,6.74,0
54768,f,d,a,3.85,6.7,8.04,0
40356,f,d,a,7.52,4.87,6.51,1
18800,f,m,a,3.35,3.62,5.42,0
43775,f,g,w,11.17,19.57,12.34,0
22932,f,d,a,6.42,5.03,13.83,1
23408,f,d,a,4.12,3.74,6.56,1
44570,f,d,a,8.23,14.94,17.16,1
24839,f,d,a,8.43,4.94,14.57,0
9970,f,d,w,0.63,3.72,0.86,1
43633,t,l,a,8.98,8.78,17.21,0
53381,t,h,a,10.8,6.6,14.7,1
32414,f,d,u,3.78,5.44,4.2,1
26800,f,d,a,7.51,6.35,9.43,1
52163,t,d,u,6.55,12.85,28.22,0
15699,t,d,a,6.52,6.72,15.62,1
9152,f,d,u,8.01,9.89,11.36,1
47889,f,g,w,3.8,10.91,6.05,1
29442,t,d,u,3.06,3.18,5.4,1
58906,f,d,w,30.34,7.78,52.04,1
23921,f,d,u,2.76,4.36,6.23,1
58152,f,d,w,2.69,0.0,0.0,1
36548,f,d,a,3.37,5.98,6.38,1
31579,f,d,a,5.77,5.32,9.96,0
22861,f,d,a,7.03,5.91,16.3,1
50751,f,d,a,2.83,4.58,10.75,0
11018,f,d,u,2.55,7.49,2.63,1
44214,f,d,s,6.29,6.95,12.92,1
28517,t,l,u,16.09,5.5,26.23,1
1405,t,d,a,11.01,11.24,16.9,0
41022,f,d,a,5.8,4.61,5.92,1
9645,f,d,u,0.93,2.54,1.5,1
8720,f,l,a,5.84,6.63,8.64,0
50267,t,d,u,10.76,9.98,29.29,1
54808,f,d,a,3.89,6.6,7.34,0
27914,t,d,a,8.35,4.72,13.49,1
51652,f,d,u,17.5,15.51,34.33,0
51550,f,d,a,19.62,14.49,33.71,0
48898,t,d,a,12.62,10.8,24.05,0
51943,t,d,u,6.53,11.02,24.19,0
45111,f,d,a,3.58,6.55,4.46,1
10214,f,d,w,0.85,4.15,0.98,1
59825,f,d,u,2.77,3.51,15.83,1
28299,t,l,a,12.8,5.13,25.78,1
36906,f,d,a,5.76,8.84,10.43,1
41664,f,d,a,1.42,4.22,1.32,1
14458,f,d,u,6.33,6.27,5.0,0
30802,t,d,a,9.03,4.87,12.54,1
40118,f,d,u,2.64,4.07,3.62,1
8509,f,l,a,5.03,6.52,9.72,0
47251,f,g,u,1.66,5.24,2.55,1
21224,f,d,a,3.92,5.75,7.95,0
1479,f,d,a,7.81,10.87,13.3,1
12314,f,l,u,3.12,4.94,5.0,1
37768,f,m,s,2.41,6.79,2.58,1
49193,t,d,u,7.37,5.03,10.99,0
175,f,d,w,13.49,16.73,17.51,1
13501,f,d,u,1.49,1.94,2.52,1
50971,f,d,u,7.52,8.87,26.47,1
29330,t,d,u,2.36,3.16,4.62,1
50114,t,d,u,11.58,7.87,28.53,1
2661,f,d,u,5.78,12.02,13.11,0
61059,f,d,u,1.15,2.83,5.07,1
18279,f,d,a,6.65,6.89,10.67,0
4891,f,d,u,2.44,5.94,4.06,0
56724,f,d,u,6.58,0.0,0.0,1
51166,f,d,u,10.43,9.64,30.8,1
31176,f,d,a,9.73,7.51,10.56,0
26759,f,d,u,7.64,7.26,13.91,1
36476,f,d,u,3.28,7.22,6.72,1
1648,f,d,a,7.57,10.72,13.65,1
34149,f,d,w,7.29,4.02,10.11,1
18002,f,d,u,8.57,7.32,12.73,0
38680,t,d,a,8.39,9.68,20.67,1
19031,f,g,a,3.74,3.9,5.88,0
53117,f,g,a,8.66,8.12,12.48,0
52879,t,d,u,7.22,7.1,17.44,0
60518,f,l,s,5.74,5.38,21.13,0
35417,f,d,u,7.84,12.2,11.06,1
48104,f,d,u,7.33,8.28,7.88,1
1794,f,d,u,6.85,5.74,11.59,0
48689,f,d,u,23.01,18.41,75.57,0
56886,f,d,a,11.19,4.92,19.17,0
33013,f,g,a,1.84,4.19,2.39,1
48480,f,d,a,18.16,12.8,68.96,0
60367,f,l,s,6.35,6.59,22.63,0
14120,f,d,u,5.48,6.44,5.15,0
28770,t,d,a,4.68,5.02,7.79,1
28414,t,d,u,13.08,5.18,24.73,1
24211,f,d,u,7.04,6.87,16.97,0
47734,f,g,u,5.27,11.7,7.05,1
60144,f,d,u,10.2,3.44,25.94,1
30768,t,d,a,7.56,4.53,12.08,1
12010,f,d,u,3.04,4.88,5.15,1
49174,t,d,a,7.8,5.94,13.61,0
29340,t,d,a,2.91,3.86,6.6,1
6372,f,h,u,5.2,3.7,6.76,0
49447,t,d,a,5.72,6.45,13.11,0
45375,f,d,u,2.98,6.13,3.19,0
54595,f,d,u,6.57,4.78,15.19,0
42005,f,d,s,1.57,4.65,1.62,1
25606,f,d,a,7.47,5.53,17.69,1
10111,f,d,s,0.73,4.24,1.05,1
4116,f,h,a,4.16,5.38,3.56,1
8183,f,l,a,2.94,8.57,3.85,1
20747,f,m,a,2.4,4.15,6.24,0
2395,f,d,a,6.53,11.17,9.87,1
44817,f,d,a,8.08,14.86,17.3,1
19798,f,m,a,5.61,8.32,8.78,1
34099,f,d,a,7.78,4.91,10.34,1
7289,f,g,u,3.25,2.65,6.87,1
46775,f,d,u,3.61,6.19,6.35,0
45696,f,d,a,1.18,2.72,1.46,0
21115,f,d,a,3.52,5.08,5.94,1
36452,f,d,w,3.99,8.16,7.49,1
20158,f,d,a,7.08,5.71,12.4,0
40363,f,d,w,6.61,6.17,7.97,1
2141,f,d,u,7.69,12.43,12.96,1
18291,f,d,a,6.42,4.81,8.77,0
56986,f,d,a,8.98,4.27,18.22,0
13195,f,g,u,0.69,4.08,0.9,1
43933,f,d,s,12.74,21.79,12.37,0
37710,f,m,a,1.83,6.51,2.41,1
40514,f,d,w,5.66,5.78,7.78,1
53116,f,h,u,7.83,7.07,11.73,0
48607,f,d,u,17.96,14.13,65.92,0
51546,f,d,a,19.48,17.36,39.19,0
23606,f,d,a,3.8,3.78,6.49,1
40230,f,d,a,3.14,3.36,3.69,1
42344,f,m,a,5.45,3.85,11.47,0
39699,f,d,a,4.22,6.44,7.56,1
8170,f,d,a,4.33,9.22,4.51,1
13431,f,h,u,1.34,1.91,2.31,1
36626,f,d,u,4.7,9.28,8.04,1
25708,f,d,u,8.01,6.89,18.39,1
34380,f,g,u,2.14,7.42,3.28,1
23236,f,d,u,9.45,9.19,26.84,1
59687,f,d,u,3.87,3.96,16.82,1
47164,f,g,a,1.49,5.27,2.55,1
54990,f,d,a,2.94,5.2,5.12,0
55292,f,l,u,5.65,7.2,50.82,0
31652,f,d,a,5.99,4.67,9.96,0
18597,f,d,a,8.11,6.46,17.86,1
38368,f,d,a,7.59,8.42,12.72,1
4645,f,d,a,2.64,6.58,5.1,0
43099,t,d,a,7.15,8.23,15.16,1
38179,f,d,a,7.23,12.59,14.67,1
46407,f,d,u,4.71,7.11,4.42,0
23759,f,d,u,4.8,5.81,6.93,1
5400,f,g,a,9.82,8.11,19.59,0
2792,f,d,u,6.44,12.23,12.77,0
59038,f,d,u,4.99,3.3,5.58,1
47902,f,g,w,3.16,9.42,5.45,1
29714,t,d,a,2.92,4.48,5.27,0
29649,t,d,u,3.19,3.39,5.77,1
4999,f,l,a,10.03,7.43,20.44,0
36654,f,d,s,5.05,7.17,7.95,1
8448,f,d,u,3.02,6.36,3.32,1
15980,f,d,u,5.97,4.46,10.65,0
58774,f,d,a,19.64,4.97,35.29,1
578,f,d,a,7.79,6.91,14.5,1
898,f,d,a,12.25,11.3,15.17,1
44616,f,d,a,8.93,15.73,18.59,1
53720,f,d,a,16.69,5.89,32.16,1
54904,f,d,a,4.11,6.08,7.33,0
35265,f,g,s,4.21,8.06,9.55,0
41359,f,d,a,10.19,9.46,19.86,1
52799,t,d,a,9.57,6.17,17.21,0
37817,f,m,a,1.08,2.89,2.47,1
40227,f,p,u,2.87,4.0,3.58,1
2761,f,d,a,5.39,11.65,12.85,0
13597,f,h,u,1.51,2.35,2.7,1
32749,f,g,u,2.91,3.83,2.44,1
17428,f,d,u,9.5,7.17,29.03,0
47106,f,g,a,1.58,5.17,2.63,1
13777,f,d,a,6.52,14.3,8.84,1
3275,t,g,a,16.29,11.02,18.44,0
26717,f,d,a,8.23,6.87,12.7,1
31562,f,d,a,6.15,6.34,9.64,0
20495,f,m,w,3.09,4.25,5.97,0
40205,f,p,u,2.23,3.1,3.08,1
22204,f,d,a,4.13,4.06,8.92,0
25729,f,d,u,7.14,5.98,16.87,1
9631,f,l,a,0.91,3.1,1.49,1
49554,t,d,a,5.35,8.01,14.64,0
60910,f,d,a,1.33,3.72,5.71,1
11014,f,d,a,2.36,4.48,2.23,1
46266,f,d,u,4.18,6.04,3.91,0
57056,f,d,a,11.44,5.08,22.25,0
5030,f,d,a,11.75,8.19,18.94,0
54378,f,d,a,4.86,4.26,11.15,0
4443,f,l,a,3.05,7.92,3.83,0
20029,f,m,u,5.98,7.41,8.21,1
21528,f,d,a,4.57,6.29,8.74,0
16915,f,d,a,9.1,10.63,14.24,0
13008,f,d,a,0.6,3.23,0.66,1
52085,t,d,u,8.32,10.75,24.37,0
13055,f,d,u,0.56,3.48,0.69,1
30785,t,d,a,7.97,4.28,12.62,1
37904,f,m,u,1.14,3.77,2.55,1
53204,f,d,a,4.29,4.86,10.87,0
24441,f,d,a,11.99,7.91,24.97,0
12300,f,l,u,3.61,5.58,5.95,1
11058,f,d,u,2.16,5.72,2.31,1
13771,f,d,u,7.15,15.24,7.95,1
51151,f,d,u,7.9,9.58,26.08,1
12357,f,d,u,1.41,5.82,1.83,0
37362,f,g,a,4.07,5.25,6.23,1
16637,f,d,a,8.35,10.12,13.82,0
8697,f,l,a,6.64,6.94,9.35,0
50338,t,d,a,11.35,8.22,32.21,1
42830,t,m,a,10.44,9.47,16.42,0
14443,f,d,u,6.64,5.86,4.53,0
16542,f,d,a,4.47,4.05,5.23,0
11129,f,d,u,2.39,5.8,2.26,1
44872,f,d,a,3.35,5.32,4.33,1
22824,f,d,a,6.86,5.06,16.63,1
1862,f,d,u,6.53,6.05,13.17,0
29448,t,d,a,2.66,2.77,5.41,1
16375,f,d,a,4.16,4.27,6.97,0
33812,f,g,u,7.38,3.51,7.96,0
46511,f,d,a,4.99,6.9,4.12,0
25541,f,d,a,7.95,5.77,17.86,1
36187,f,d,s,5.66,5.89,6.36,0
40679,f,d,a,4.46,5.74,10.25,1
22623,f,d,a,6.71,5.47,13.99,1
12183,f,d,u,2.62,5.57,5.45,1
34810,f,m,u,1.7,6.16,2.82,1
14270,f,d,w,6.43,6.43,5.53,0
47240,f,g,a,1.7,5.07,2.61,1
58880,f,d,w,21.43,6.39,45.85,1
18505,f,d,a,8.14,6.55,14.32,1
54345,f,h,a,3.45,2.03,5.62,1
24779,f,d,u,7.67,4.78,14.62,0
53941,f,d,a,16.22,5.52,30.53,1
12588,f,g,u,1.36,6.17,1.4,0
27997,t,d,u,6.96,4.43,12.22,1
541,f,d,u,8.19,7.42,13.65,1
15574,t,d,u,5.96,4.88,13.19,1
28559,t,d,a,16.18,4.68,23.81,1
15021,f,d,u,12.37,8.08,13.74,0
45097,f,d,u,3.4,6.37,4.75,1
55157,f,d,u,5.13,5.7,24.76,0
21828,f,d,a,6.52,5.84,15.68,0
26868,t,d,a,10.49,5.32,24.84,0
52414,f,d,a,9.69,6.93,15.6,0
45341,f,d,a,2.73,5.99,2.46,0
46574,f,d,u,3.9,6.14,3.96,0
44859,f,d,a,3.66,5.75,4.45,1
30375,t,d,u,7.62,5.64,17.27,0
3962,f,g,a,3.32,5.09,3.32,1
54308,f,d,a,6.37,3.08,6.22,1
58569,f,d,s,51.3,4.53,27.29,0
14000,f,d,a,7.01,14.27,7.77,1
15092,f,d,w,9.22,9.11,13.81,0
11707,t,d,a,0.96,6.18,1.2,0
59141,f,d,u,4.08,4.05,5.9,1
231,f,d,u,14.1,16.49,17.92,1
25237,f,d,u,15.8,5.39,18.56,0
57346,f,d,u,1.39,3.66,1.62,1
17060,f,d,a,6.31,5.45,14.16,1
7226,f,g,u,2.5,2.88,8.94,1
33118,f,g,a,2.07,4.71,2.41,1
51568,f,d,a,18.57,17.06,35.18,0
47094,f,g,a,1.38,4.65,2.32,1
1186,t,d,u,9.95,10.43,15.47,0
56299,f,d,w,5.82,1.4,12.93,1
6403,f,h,u,6.59,5.57,8.36,0
35830,f,d,a,5.21,5.69,6.36,1
42668,f,w,a,8.06,4.76,12.25,0
48628,f,d,a,22.23,17.12,70.38,0
56359,f,d,a,10.06,1.8,16.43,1
29763,t,d,u,3.4,3.93,4.97,0
18844,f,g,a,2.81,3.99,5.46,0
14034,f,d,u,7.7,16.88,8.51,1
19298,f,g,a,5.29,6.04,7.97,1
39861,f,d,u,5.14,6.58,7.27,1
1337,t,d,u,8.8,10.9,17.32,0
45384,f,d,a,2.79,5.33,2.49,0
35400,f,d,a,6.74,7.85,9.05,1
31615,f,d,u,5.78,7.71,11.49,0
45340,f,d,u,3.0,5.84,2.17,0
55152,f,d,w,4.79,7.93,43.58,0
280,f,d,w,15.6,17.83,16.89,1
22083,f,d,u,3.96,3.29,8.56,0
40389,f,d,w,8.84,5.81,8.1,1
59596,f,d,a,4.94,6.41,33.39,1
1036,f,d,a,11.73,10.68,12.29,1
37792,f,g,a,0.83,3.58,2.4,1
29626,t,d,a,2.97,3.65,5.77,1
54400,f,d,u,4.26,5.53,13.95,0
14024,f,d,a,5.59,11.13,6.57,1
43224,t,d,a,6.69,7.38,12.09,1
12009,f,l,a,3.5,5.78,5.09,1
17193,f,d,a,4.89,4.55,10.16,1
33964,f,d,a,8.37,3.91,9.09,1
40461,f,d,a,7.76,5.58,7.01,1
3531,f,d,a,4.64,4.79,3.75,1
42010,f,m,a,5.98,4.63,11.46,0
46675,f,d,u,2.58,5.67,6.13,0
46912,f,d,u,3.84,6.73,7.1,0
42851,t,m,u,13.32,9.66,17.58,0
19383,f,g,a,4.86,5.67,7.29,1
30734,t,d,u,8.49,4.85,12.48,1
44919,f,d,a,3.49,5.99,4.43,1
5869,f,l,w,16.65,8.32,27.68,0
12146,f,l,a,3.89,6.25,6.26,1
38551,t,d,a,6.24,7.22,18.52,1
53717,f,d,a,16.27,6.26,40.32,1
53898,f,d,a,18.25,6.22,42.07,1
7316,f,g,u,2.6,3.09,6.52,1
26456,f,d,a,10.96,7.36,22.84,0
29798,t,d,u,3.71,4.56,6.69,0
22406,t,d,u,5.86,7.17,15.77,0
56306,f,d,w,7.62,1.63,14.88,1
1552,f,d,a,7.69,11.38,14.46,1
53787,f,d,a,20.98,7.06,38.86,1
19580,f,h,a,2.01,2.88,5.53,1
47792,f,g,w,2.85,7.26,4.88,1
28071,t,d,u,7.21,4.52,13.08,1
28286,t,g,u,14.48,4.82,23.99,1
8764,f,l,w,6.67,7.05,10.01,0
55277,f,d,w,5.0,5.54,47.72,0
19486,f,h,a,2.97,3.87,6.35,1
41382,f,d,a,11.24,10.46,21.85,1
30721,t,d,u,7.8,4.34,11.32,1
44410,f,g,s,5.55,9.53,12.54,1
54703,f,d,u,6.17,3.93,13.58,0
15730,t,d,u,4.96,4.65,12.7,1
23348,f,d,u,5.21,4.82,8.22,1
15829,t,d,a,8.13,4.91,16.07,1
32010,f,g,u,4.24,4.52,3.47,1
58485,f,d,s,43.6,4.7,18.75,0
19230,f,g,u,4.21,5.66,7.76,1
17374,f,d,s,9.35,6.93,29.63,0
52374,f,d,a,6.27,6.3,14.54,0
33791,f,d,a,5.16,3.25,7.86,0
22862,f,d,a,7.39,5.33,16.53,1
41387,f,d,u,13.12,13.72,25.13,1
34087,f,d,w,7.16,4.93,10.26,1
7253,f,g,a,3.2,3.18,8.2,1
16613,f,d,a,7.69,9.9,13.03,0
30259,t,d,u,8.94,7.95,14.31,1
44635,f,d,a,8.42,14.5,17.81,1
52234,t,d,a,7.29,10.35,22.73,0
55850,f,d,u,10.93,5.13,25.67,0
55176,f,l,w,5.71,6.78,49.04,0
49543,t,d,a,6.38,6.86,14.02,0
41723,f,h,u,1.8,4.9,1.36,1
22305,t,d,a,8.18,8.31,17.19,0
37976,f,g,a,1.09,3.48,2.52,1
40557,f,d,w,7.39,5.54,7.74,1
10412,f,d,w,3.75,4.68,3.01,0
39942,f,d,a,1.51,2.19,2.97,1
35560,f,d,a,9.14,12.89,12.77,1
27816,t,d,a,6.33,6.29,9.36,1
55375,f,l,a,3.76,5.91,40.35,0
54064,f,d,a,6.2,3.89,6.67,1
27907,t,d,u,9.1,4.63,13.07,1
34450,f,g,a,2.02,8.23,3.34,1
28177,t,d,a,6.42,4.5,11.71,1
19886,f,g,u,4.77,5.58,5.6,1
32045,f,g,a,3.33,4.0,2.83,1
1437,f,d,u,9.0,10.96,15.78,1
32727,f,g,a,3.17,3.05,2.46,1
57328,f,d,u,1.36,4.78,1.45,1
58573,f,d,u,52.53,5.31,25.55,0
12564,f,g,u,1.63,7.5,2.61,0
32022,f,g,u,3.95,4.11,3.06,1
57593,f,d,w,2.78,0.0,0.0,1
41908,f,d,s,1.32,3.68,1.49,1
16012,f,d,a,6.1,4.04,9.54,0
30137,t,d,a,9.0,8.51,13.33,1
14851,f,d,w,8.37,9.47,15.36,0
53793,f,d,a,14.98,6.72,38.07,1
23285,f,d,u,11.2,9.98,26.47,1
23699,f,d,a,5.1,6.32,8.27,1
14158,f,d,u,5.79,6.1,5.32,0
6240,f,d,a,5.86,5.63,10.8,1
58671,f,d,a,22.15,6.15,42.2,1
53283,f,g,u,7.57,6.43,11.52,0
15750,t,d,a,6.86,6.01,14.97,1
2260,f,d,u,8.44,13.63,13.01,1
48140,f,d,u,8.3,9.21,8.53,1
45144,f,d,a,4.19,6.84,4.79,1
5058,f,l,a,9.86,6.46,19.77,0
53603,t,d,a,10.19,5.54,13.97,1
48586,f,d,a,18.12,14.93,54.83,0
42996,t,m,u,13.58,8.96,16.87,0
56919,f,d,a,9.34,4.92,19.44,0
17121,f,d,a,5.74,4.6,12.4,1
52489,f,d,a,7.13,7.88,15.69,0
51714,f,d,a,20.77,14.66,34.98,0
15291,f,d,w,10.99,6.89,25.03,0
44583,f,d,a,7.96,15.22,17.68,1
20110,f,g,a,4.94,8.19,7.88,1
20595,f,m,w,3.33,4.45,6.37,0
41631,f,d,w,12.36,13.0,26.51,1
44178,f,g,a,5.83,9.73,12.67,1
59524,f,p,u,4.05,5.69,29.59,1
1917,f,d,a,5.64,5.52,11.19,0
53237,f,h,u,6.4,7.2,13.11,0
49156,t,d,u,7.81,6.78,12.34,0
6989,f,d,a,4.7,5.3,8.42,0
56961,f,d,a,10.23,5.29,22.42,0
49919,t,d,u,12.79,8.41,26.12,1
27331,t,d,u,16.61,7.14,28.99,1
46347,f,d,u,4.18,6.64,3.98,0
6904,f,l,a,4.82,6.57,6.89,0
41783,f,h,s,1.87,4.83,1.53,1
56605,f,d,u,4.41,0.0,0.0,1
18194,f,d,a,7.31,5.79,9.92,0
30479,t,d,a,8.87,6.82,18.55,0
1779,f,d,u,6.63,6.28,13.33,0
51009,f,d,a,9.2,8.32,28.28,1
34070,f,d,w,8.11,4.84,10.79,1
28749,t,d,a,8.01,7.07,9.7,1
3194,t,d,a,15.14,11.1,18.05,0
2947,f,d,a,17.41,25.38,20.43,0
35245,f,g,a,5.16,8.27,9.09,0
22454,t,d,u,7.54,7.55,15.78,0
1039,f,d,u,11.75,10.27,14.04,1
26607,f,d,a,6.79,6.11,11.58,1
7600,f,d,u,3.88,6.41,5.21,1
27411,t,d,a,14.83,5.62,28.2,1
1267,t,d,u,11.91,10.98,17.61,0
13330,f,g,a,0.68,4.86,1.02,1
49803,t,d,a,15.64,10.26,34.69,1
41392,f,d,a,9.91,9.01,19.88,1
47484,f,g,a,2.07,7.65,2.12,1
23894,f,d,u,4.31,4.76,6.33,1
37037,f,d,a,5.82,7.82,10.33,1
51533,f,d,u,4.45,5.22,10.71,0
49497,t,d,a,8.39,8.48,13.2,0
49568,t,d,a,3.71,5.73,12.78,0
3732,f,d,u,3.08,4.02,3.68,1
31857,f,g,u,4.11,3.89,2.85,1
57021,f,d,a,9.01,5.13,19.25,0
8572,f,l,a,6.84,7.02,10.53,0
46911,f,d,a,3.29,5.52,6.44,0
31690,f,d,u,7.14,5.91,9.95,0
18219,f,m,u,7.48,5.9,10.81,0
47553,f,g,u,3.04,8.27,2.4,1
59113,f,d,u,4.49,3.87,6.99,1
37584,f,m,a,1.51,6.53,2.5,1
10691,f,d,a,1.96,4.83,1.96,1
43430,t,l,a,10.27,9.3,17.16,0
30645,t,d,a,10.6,5.67,16.44,0
21574,f,d,u,6.38,5.9,12.97,0
52127,t,d,a,6.84,12.67,25.82,0
55139,f,l,a,4.58,5.43,35.64,0
56029,f,d,u,9.64,5.51,25.23,0
45986,f,g,u,1.44,4.94,2.43,0
40827,f,d,u,3.55,5.24,9.15,1
19154,f,g,a,4.43,6.2,7.55,1
3371,t,g,a,14.14,9.51,17.12,0
52842,t,d,u,8.54,8.15,18.0,0
51973,t,d,a,7.9,11.39,24.82,0
2800,f,d,u,5.2,12.43,13.25,0
52786,t,d,u,9.32,8.25,17.7,0
9448,f,g,a,3.66,4.71,3.09,0
18225,f,g,a,6.77,6.15,9.67,0
39400,t,g,a,6.37,8.37,12.95,1
59519,f,p,a,3.92,5.41,28.67,1
28247,t,g,a,17.73,5.27,25.2,1
2725,f,d,u,5.47,12.75,12.59,0
55678,f,d,a,14.33,2.6,18.87,0
45475,f,d,s,2.79,7.28,3.18,0
40020,f,p,u,2.91,4.46,3.79,1
32376,f,g,a,4.53,6.23,4.24,1
10509,f,d,s,3.15,4.93,3.13,0
5414,f,g,w,7.43,6.21,19.42,0
51138,f,d,u,10.49,12.17,32.84,1
36564,f,d,a,3.98,7.21,6.3,1
21277,f,d,w,4.3,5.8,7.22,0
48631,f,d,a,21.33,15.49,69.72,0
18919,f,g,a,3.0,3.88,6.67,0
22764,f,d,a,6.2,5.7,15.12,1
51289,f,d,u,4.34,5.26,12.96,0
26068,f,d,a,5.04,2.97,12.35,1
51603,f,d,u,19.45,15.22,32.26,0
28714,t,d,u,6.4,6.41,8.75,1
24689,f,d,a,10.2,8.23,21.13,0
38053,f,m,a,0.85,4.05,2.79,1
10914,f,d,a,1.75,4.66,1.64,1
36112,f,d,w,6.31,5.41,6.16,0
57458,f,d,w,1.39,3.57,1.51,1
23436,f,d,a,4.19,4.67,7.94,1
34659,f,g,u,2.61,6.21,2.77,1
2799,f,d,u,4.57,10.96,10.43,0
32165,f,d,a,3.88,5.55,3.98,1
42075,f,m,u,3.67,3.59,10.84,0
22165,f,d,u,3.5,3.25,7.77,0
2955,f,d,a,15.86,19.78,19.05,0
4372,f,l,a,2.93,7.72,3.59,0
58888,f,d,w,17.49,4.28,34.27,1
28839,t,d,a,7.65,6.59,10.42,1
3192,t,g,u,15.63,9.84,17.75,0
7874,f,d,a,2.67,4.59,2.67,1
17424,f,d,u,10.34,7.6,31.79,0
23168,f,d,u,9.45,12.12,31.34,1
45840,f,d,a,1.38,3.33,1.69,0
3319,t,d,u,15.62,10.64,17.96,0
25756,f,d,u,7.45,5.91,17.96,1
21626,f,d,u,7.43,6.5,14.92,0
25945,f,d,a,5.9,4.46,13.83,1
23475,f,d,a,3.47,4.26,6.67,1
